@RELATION dataset_consumo_energia

@ATTRIBUTE Setor_Atividade {Residencial,Comercial,Industrial}
@ATTRIBUTE Dia_da_Semana {Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo}
@ATTRIBUTE Temperatura_Media NUMERIC
@ATTRIBUTE Area_Metragem NUMERIC
@ATTRIBUTE Ocupantes_Ativos NUMERIC
@ATTRIBUTE Num_Extintores NUMERIC
@ATTRIBUTE Consumo_Energia NUMERIC

@DATA
Industrial,Segunda,20.1,3736.4,51,14,1931.6
Residencial,Segunda,18.7,92.0,?,15,208.1
Industrial,Terca,29.0,4983.5,31,15,2142.6
Industrial,Quarta,15.5,4886.6,194,9,3771.8
Residencial,Quinta,15.0,151.0,?,19,240.5
Residencial,Sexta,26.7,87.9,6,20,278.3
Industrial,Sexta,22.1,3561.0,160,?,2802.0
Comercial,Quinta,22.6,150.5,30,19,439.9
Industrial,Domingo,20.2,637.9,145,6,1792.2
Industrial,Sabado,20.8,1659.6,155,20,2213.7
Industrial,Terca,19.7,2581.8,?,19,1786.7
Industrial,Sexta,18.9,4407.2,123,4,2650.8
Residencial,Quarta,20.1,161.8,5,7,311.8
Industrial,Terca,19.9,3842.2,105,4,2418.5
Comercial,Quarta,17.9,397.8,31,12,535.4
Residencial,Domingo,19.3,108.4,4,13,229.3
Comercial,Segunda,15.0,359.7,31,3,448.0
Comercial,Terca,25.4,791.4,38,12,788.3
Comercial,Sexta,24.0,128.1,22,2,425.9
Comercial,Terca,21.6,706.9,11,2,631.1
Residencial,Terca,23.2,?,6,9,304.9
Residencial,Terca,23.4,121.4,6,1,286.1
Comercial,Sabado,18.4,607.7,61,8,798.9
Comercial,Terca,19.3,440.7,36,6,608.5
Residencial,Quarta,24.6,182.3,3,6,278.6
Residencial,Segunda,23.0,186.1,4,18,328.2
Residencial,Domingo,32.2,119.0,5,17,301.0
Industrial,Quinta,30.1,1745.7,41,12,1442.2
Industrial,Terca,26.7,3165.6,190,6,3058.8
Industrial,Sexta,18.2,4605.6,184,8,3338.0
Comercial,Terca,19.2,247.5,70,19,687.7
Industrial,Sexta,17.0,3303.3,116,10,2464.8
Comercial,Quarta,?,542.1,65,1,786.1
Comercial,Sexta,15.0,613.2,12,13,530.0
Industrial,Quinta,19.7,1092.1,137,17,1921.9
Comercial,Segunda,20.5,601.1,28,3,685.3
Industrial,Sexta,15.0,?,42,8,2043.2
Industrial,Sexta,26.0,1308.6,176,14,2150.3
Residencial,Segunda,16.3,93.3,5,3,240.2
Industrial,Quinta,23.3,4871.3,130,16,3015.5
Residencial,Terca,35.9,85.3,2,13,228.0
Industrial,Sexta,15.0,4344.7,147,20,2980.3
Industrial,Segunda,21.3,2715.3,130,17,2324.9
Residencial,Quarta,20.0,94.6,?,13,232.8
Residencial,Segunda,19.0,181.9,3,6,261.7
Industrial,Quarta,25.8,2503.9,163,17,2467.5
Comercial,Quinta,27.5,460.4,10,14,494.1
Residencial,Terca,25.9,110.3,5,17,248.8
Comercial,Segunda,18.4,?,?,8,512.2
Comercial,Domingo,34.2,214.5,12,11,437.4
Comercial,Domingo,15.0,373.8,74,20,736.7
Residencial,Sabado,16.8,195.7,5,1,324.9
