Setor_Atividade,Dia_da_Semana,Temperatura_Media,Area_Metragem,Ocupantes_Ativos,Num_Extintores,Consumo_Energia
Industrial,Segunda,23.6,4778.2,,12.0,762.95
Residencial,Sabado,16.3,181.3,4.4,14.0,27.39
Comercial,Terca,15.5,778.9,68.3,5.0,171.17
Residencial,Terca,22.0,133.5,3.7,7.0,24.29
Industrial,Segunda,29.1,1127.7,72.6,,
Industrial,Sabado,19.6,2814.1,126.6,2.0,637.64
Industrial,Segunda,29.0,1267.4,,19.0,514.29
Industrial,Quinta,30.7,2480.7,42.0,10.0,595.87
Residencial,Segunda,15.8,187.3,3.0,14.0,26.93
Residencial,Terca,27.6,85.9,5.9,16.0,30.51
Residencial,Sexta,36.6,185.3,4.4,19.0,
Industrial,Segunda,23.9,1721.1,169.2,8.0,625.22
Industrial,Terca,21.5,2942.1,45.4,16.0,571.58
Industrial,Sabado,,4169.6,147.2,15.0,739.57
Industrial,Sexta,32.7,833.2,84.5,3.0,568.35
Comercial,Terca,22.6,144.5,31.8,7.0,117.81
Comercial,Sexta,31.8,546.3,72.1,10.0,196.5
Comercial,Domingo,32.5,492.9,64.0,10.0,183.72
Residencial,Domingo,27.0,,2.1,3.0,30.25
Residencial,Sabado,22.2,131.2,5.6,6.0,26.1
Comercial,Quarta,24.4,628.9,26.0,2.0,136.06
Comercial,Terca,36.4,665.7,54.3,18.0,196.92
Residencial,Domingo,33.5,86.1,5.6,11.0,40.17
Comercial,Segunda,,399.0,67.3,17.0,152.28
Residencial,Quinta,15.2,131.5,3.7,5.0,
Residencial,Quarta,36.7,105.2,4.1,14.0,44.49
Comercial,Sexta,23.4,780.2,77.4,6.0,174.47
Comercial,Domingo,21.6,125.8,52.7,11.0,128.35
Residencial,Sabado,16.2,99.0,5.6,6.0,24.4
Comercial,Sexta,37.7,269.4,57.0,15.0,179.64
Residencial,Quinta,20.5,162.0,3.5,13.0,26.36
Residencial,Sexta,17.1,176.9,3.3,5.0,28.23
Comercial,Domingo,15.9,,57.4,1.0,144.55
Industrial,Sexta,29.8,1284.6,144.4,,620.02
Comercial,Sexta,36.5,196.3,33.9,3.0,164.35
Residencial,Sabado,33.8,137.7,4.1,,41.28
Residencial,Segunda,17.1,185.6,,13.0,27.69
Industrial,Terca,31.7,4537.0,179.7,16.0,786.66
Comercial,Segunda,29.8,158.9,21.3,18.0,129.51
Residencial,Domingo,15.1,82.5,4.2,14.0,22.0
Residencial,Quinta,30.0,,4.8,6.0,36.64
Comercial,Quinta,,694.5,56.0,12.0,178.71
Industrial,Domingo,17.2,2154.7,67.7,6.0,560.6
Comercial,Terca,35.5,541.8,65.6,11.0,202.12
Comercial,Quarta,28.3,444.8,23.7,15.0,135.6
Residencial,Sabado,36.6,193.6,5.7,8.0,51.88
Comercial,Sabado,15.4,749.8,40.0,19.0,145.69
Industrial,Sabado,34.6,1926.1,50.5,12.0,572.45
Residencial,Sexta,36.5,157.4,4.3,3.0,48.14
Industrial,Terca,35.2,3833.5,145.5,14.0,747.53
Industrial,Sabado,,,165.7,16.0,639.86
Residencial,Terca,33.4,151.0,4.8,16.0,48.52
Comercial,Quinta,35.5,336.6,,3.0,163.95
Comercial,Sabado,25.7,479.9,30.1,12.0,139.52
Industrial,Sexta,15.7,668.1,168.1,8.0,568.98
Residencial,Sabado,32.7,90.2,4.5,3.0,37.89
Comercial,Domingo,16.2,471.9,47.8,13.0,133.22
Residencial,Terca,33.3,97.9,3.8,,40.11
Residencial,Domingo,15.6,194.8,5.3,14.0,27.94
Comercial,Quinta,18.6,275.2,48.4,15.0,1689.62
Comercial,Segunda,30.2,,76.8,15.0,192.35
Residencial,Sexta,24.7,94.7,,,27.33
Industrial,Quarta,15.3,1022.3,28.3,2.0,480.06
Residencial,Sabado,25.9,73.7,4.0,10.0,28.38
Comercial,Quinta,19.0,403.7,37.9,13.0,128.78
Industrial,Quinta,23.6,3316.4,110.6,17.0,664.9
Residencial,Quarta,30.1,82.8,2.3,13.0,33.2
Residencial,Terca,36.6,140.6,3.6,13.0,46.27
Industrial,Sexta,25.5,,189.5,8.0,722.91
Industrial,Quarta,16.6,,172.1,1.0,622.6
Industrial,Sexta,33.7,1768.3,41.3,14.0,595.61
Comercial,Sexta,31.9,662.4,29.7,4.0,168.12
Comercial,Quarta,32.3,664.8,79.3,9.0,215.54
Residencial,Terca,22.8,190.3,5.4,9.0,29.5
Industrial,Quinta,32.3,3895.4,38.6,18.0,703.67
Residencial,Domingo,22.4,185.4,3.6,1.0,27.77
Residencial,Domingo,35.8,72.8,3.3,19.0,42.1
Residencial,Terca,29.5,122.8,3.2,7.0,35.57
Industrial,Terca,30.5,,162.5,16.0,766.5
Industrial,Quinta,16.3,2972.9,99.5,18.0,611.33
Industrial,Segunda,23.1,1026.8,45.7,15.0,481.23
Comercial,Quinta,16.9,590.7,15.1,17.0,122.5
Industrial,Quinta,31.2,866.1,35.3,20.0,495.06
Industrial,Quarta,33.7,4762.6,197.5,15.0,818.54
Industrial,Domingo,23.7,875.8,159.9,12.0,595.14
Residencial,Sabado,17.6,129.0,2.0,10.0,22.94
Industrial,Segunda,16.3,1034.7,41.2,13.0,492.25
Industrial,Sexta,37.1,2186.9,71.4,18.0,671.48
Comercial,Domingo,20.1,774.3,10.9,19.0,128.29
Industrial,Quarta,16.7,2992.3,194.5,11.0,705.48
Residencial,Quarta,29.5,157.4,3.8,13.0,38.13
Comercial,Terca,16.0,296.7,76.5,18.0,156.89
Comercial,Segunda,25.5,534.1,29.4,5.0,131.76
Industrial,Sabado,28.4,849.8,195.4,20.0,620.86
Comercial,Sexta,31.1,475.3,31.7,16.0,152.21
Residencial,Sexta,36.0,175.2,5.8,,50.13
Residencial,Domingo,29.1,118.6,5.7,,37.42
Industrial,Quarta,37.7,1176.9,126.9,8.0,629.87
Industrial,Sexta,37.3,4289.5,170.9,10.0,788.1
Industrial,Terca,16.3,4391.3,166.3,,739.07
Residencial,Quarta,37.9,137.8,5.1,19.0,49.15
Residencial,Sexta,25.4,78.1,,13.0,29.18
Industrial,Segunda,20.3,3522.7,131.3,8.0,687.97
Industrial,Quarta,27.0,3975.4,113.6,17.0,698.6
Comercial,Segunda,27.7,492.7,71.4,,182.32
Residencial,Quarta,31.2,89.8,2.5,1.0,36.74
Comercial,Terca,23.1,512.9,37.5,,137.82
Residencial,Terca,26.8,169.7,3.6,13.0,34.29
Industrial,Segunda,34.8,4772.8,46.5,19.0,702.03
Residencial,Sabado,25.6,197.2,4.0,7.0,337.13
Comercial,Domingo,29.6,268.1,15.3,3.0,129.86
Residencial,Domingo,19.2,108.4,5.6,10.0,24.2
Industrial,Domingo,30.4,1275.4,54.6,2.0,540.71
Residencial,Terca,19.1,72.4,2.5,10.0,20.13
Industrial,Quinta,19.7,2139.2,110.6,14.0,582.94
Industrial,Terca,35.1,4643.9,31.0,6.0,727.13
Comercial,Sexta,33.5,623.8,22.9,5.0,162.66
Industrial,Quinta,29.2,2160.1,103.3,15.0,583.37
Residencial,Sexta,15.8,95.3,4.9,18.0,25.87
Industrial,Sabado,17.5,2513.4,115.9,6.0,639.16
Residencial,Sabado,21.2,,2.1,7.0,21.89
Comercial,Quinta,17.8,723.4,51.6,14.0,152.34
Industrial,Sabado,33.2,2743.0,35.6,11.0,650.03
Comercial,Quinta,24.9,189.3,29.9,8.0,124.06
Industrial,Quinta,29.9,3068.5,84.1,20.0,632.5
Residencial,Terca,17.3,81.4,3.0,4.0,21.83
Residencial,Segunda,19.3,99.9,2.7,18.0,22.19
Comercial,Segunda,24.4,787.7,17.8,9.0,137.31
Industrial,Sexta,37.3,4394.8,167.1,6.0,842.39
Residencial,Sexta,36.4,137.9,4.3,6.0,372.84
Residencial,Segunda,32.7,86.2,3.3,9.0,36.14
Residencial,Sabado,17.6,145.5,3.2,12.0,24.87
Industrial,Segunda,18.6,2665.1,115.9,2.0,609.82
Residencial,Segunda,16.5,198.6,3.3,16.0,27.25
Residencial,Domingo,20.9,155.4,5.0,12.0,24.79
Comercial,Segunda,23.0,750.7,68.1,19.0,
Industrial,Terca,17.9,3788.9,188.9,4.0,742.49
Comercial,Sabado,28.2,689.3,19.8,16.0,148.21
Comercial,Terca,19.6,214.6,21.5,16.0,108.87
Industrial,Terca,23.3,4447.4,90.6,17.0,
Industrial,Sexta,25.1,2196.2,103.3,7.0,608.29
Industrial,Quinta,,4548.1,89.1,11.0,733.82
Residencial,Domingo,35.8,147.4,2.5,19.0,43.07
Comercial,Domingo,18.2,655.8,53.4,11.0,160.85
Comercial,Terca,35.6,652.0,20.6,7.0,174.11
Residencial,Segunda,15.8,139.8,5.0,18.0,25.32
Industrial,Quinta,22.9,4195.7,39.9,17.0,640.97
Comercial,Quinta,33.3,204.9,26.0,15.0,140.69
Comercial,Quinta,,548.8,58.6,11.0,178.87
Industrial,Segunda,19.2,4588.0,125.0,9.0,702.16
Industrial,Sabado,25.6,4762.8,47.6,12.0,745.16
Industrial,Segunda,15.4,4424.6,187.8,12.0,774.46
Residencial,Quinta,31.0,189.1,4.8,4.0,44.15
Industrial,Quarta,24.8,3814.0,188.2,19.0,785.74
Residencial,Terca,25.4,75.9,5.9,17.0,28.66
Residencial,Terca,28.6,115.9,2.2,7.0,33.52
Industrial,Quinta,33.5,520.8,80.0,9.0,561.06
Residencial,Quinta,23.0,108.6,,10.0,354.29
Residencial,Quarta,20.2,123.3,2.6,4.0,21.36
Comercial,Terca,36.0,353.7,,13.0,
Residencial,Quinta,15.3,152.9,2.7,19.0,24.6
Industrial,Segunda,17.0,,110.4,12.0,713.13
Residencial,Sabado,16.5,165.0,2.8,18.0,25.05
Industrial,Domingo,15.8,2624.3,121.7,2.0,618.26
Residencial,Segunda,32.8,123.5,4.1,9.0,42.17
Residencial,Terca,18.6,85.5,5.4,19.0,22.13
Comercial,Quinta,23.6,289.5,55.1,9.0,147.38
Comercial,Terca,15.6,255.4,26.2,14.0,118.07
Comercial,Segunda,15.5,172.9,66.0,4.0,136.26
Residencial,Quinta,17.3,94.0,4.9,17.0,24.13
Residencial,Quinta,34.1,115.6,4.7,5.0,43.45
Comercial,Domingo,,159.9,,2.0,106.68
Comercial,Quarta,19.2,508.1,39.5,18.0,134.86
Comercial,Sabado,21.0,365.8,,6.0,143.71
Industrial,Domingo,29.4,2342.4,119.4,9.0,653.75
Industrial,Sabado,32.6,1130.5,176.3,10.0,648.68
Industrial,Quinta,35.6,4099.3,96.5,1.0,757.09
Residencial,Terca,29.6,96.1,2.6,17.0,31.58
Comercial,Terca,37.6,468.0,22.0,6.0,168.79
Residencial,Sexta,21.3,137.6,4.6,17.0,24.81
Industrial,Sexta,19.7,549.5,44.6,18.0,466.71
Residencial,Sabado,28.8,153.1,2.7,18.0,36.05
Comercial,Segunda,24.6,368.2,46.3,,145.47
Residencial,Sexta,16.9,144.4,3.0,8.0,24.08
Comercial,Sexta,21.6,349.0,60.3,7.0,141.54
Industrial,Terca,30.3,4715.7,151.9,5.0,861.89
Residencial,Sexta,15.7,96.7,4.4,2.0,25.15
Residencial,Domingo,22.7,167.9,2.4,2.0,26.29
Residencial,Segunda,31.7,129.4,4.8,9.0,40.71
Industrial,Segunda,33.4,3626.1,69.0,12.0,681.8
Industrial,Domingo,23.3,912.1,185.1,4.0,598.84
Residencial,Quinta,19.3,135.9,5.5,15.0,26.68
Residencial,Sexta,33.6,152.2,4.8,17.0,43.76
Residencial,Sexta,20.1,,5.8,2.0,
Industrial,Segunda,31.2,4663.6,52.5,12.0,697.79
Industrial,Segunda,36.3,4869.8,190.0,10.0,894.38
Comercial,Sabado,34.8,691.2,32.3,17.0,179.32
Industrial,Sexta,20.3,1042.6,33.9,14.0,
Industrial,Quarta,22.8,3761.5,31.8,7.0,644.32
Comercial,Terca,22.3,538.1,72.0,13.0,166.38
Industrial,Sabado,20.4,609.8,176.6,,573.18
Comercial,Terca,36.6,659.1,79.9,8.0,227.73
Comercial,Quinta,32.6,381.4,43.6,13.0,163.53
Residencial,Sabado,24.7,163.3,3.0,3.0,30.91
Industrial,Quarta,23.2,1792.6,,5.0,553.69
Comercial,Quarta,23.8,575.8,25.3,19.0,135.37
Residencial,Segunda,33.1,72.5,3.7,18.0,38.18
Comercial,Sexta,29.1,216.9,79.4,5.0,179.22
Industrial,Segunda,36.7,3423.4,129.4,11.0,733.88
Residencial,Sexta,20.1,86.1,,8.0,23.01
Residencial,Sexta,16.3,195.7,5.5,19.0,30.43
Comercial,Terca,31.0,207.7,67.1,5.0,168.14
Comercial,Segunda,20.1,475.9,51.5,12.0,142.33
Residencial,Quarta,35.4,193.8,5.4,,48.54
Comercial,Terca,30.1,485.6,16.1,9.0,1605.16
Comercial,Domingo,,447.1,15.7,5.0,140.56
Industrial,Sabado,30.7,842.6,173.2,10.0,671.51
Comercial,Sexta,34.0,343.5,57.5,12.0,
Industrial,Sexta,21.1,4453.8,163.5,14.0,772.04
Residencial,Sabado,31.0,155.2,4.5,15.0,40.47
Industrial,Quarta,18.6,4463.9,176.9,2.0,
Industrial,Segunda,22.7,3845.8,48.9,17.0,637.7
Residencial,Quarta,34.1,131.0,2.0,6.0,41.54
Residencial,Segunda,29.5,96.4,4.5,11.0,34.72
Industrial,Sexta,32.9,981.4,157.0,11.0,627.37
Residencial,Quarta,29.6,190.5,2.4,,38.16
Comercial,Sexta,,147.5,31.1,14.0,139.21
Residencial,Sabado,23.0,146.9,2.2,18.0,
Comercial,Terca,37.4,778.2,62.5,3.0,225.21
Industrial,Sabado,30.7,2506.6,69.3,20.0,623.04
Comercial,Sexta,24.8,416.0,21.5,16.0,122.53
Comercial,Quarta,16.9,576.3,55.8,6.0,156.72
Residencial,Segunda,36.9,81.1,3.7,19.0,46.82
Industrial,Quinta,24.1,1734.0,,9.0,633.86
Comercial,Segunda,35.6,261.0,24.9,2.0,148.0
Residencial,Quarta,34.9,126.2,5.9,5.0,47.35
Residencial,Sabado,35.0,168.7,5.1,17.0,47.92
Comercial,Terca,18.0,122.8,74.5,13.0,151.55
Industrial,Quinta,33.3,2666.9,41.1,,610.09
Industrial,Sabado,19.6,2712.2,31.6,12.0,591.19
Comercial,Sexta,21.2,658.3,31.7,10.0,136.4
Residencial,Segunda,28.8,100.8,4.8,17.0,31.6
Residencial,Sabado,,65.5,3.9,3.0,37.74
Residencial,Sexta,29.2,158.3,4.2,1.0,35.79
Residencial,Domingo,22.5,132.5,2.4,8.0,23.56
Comercial,Sexta,28.1,582.6,66.0,5.0,178.71
Industrial,Terca,18.9,970.6,134.6,14.0,557.21
Comercial,Terca,31.3,709.7,60.0,16.0,187.67
Residencial,Quarta,22.8,174.1,2.3,18.0,27.8
Comercial,Domingo,25.4,550.5,46.8,15.0,156.08
Residencial,Quarta,16.9,68.4,3.0,4.0,20.62
Residencial,Sabado,37.4,107.2,2.7,16.0,46.2
Residencial,Sabado,30.2,129.7,4.2,15.0,391.33
Residencial,Quarta,19.6,155.2,2.3,2.0,
Industrial,Domingo,20.9,2581.8,176.3,15.0,660.42
Comercial,Sexta,23.0,359.7,79.1,,172.02
Industrial,Terca,,3104.0,99.0,15.0,721.52
Residencial,Domingo,35.7,,3.1,12.0,43.93
Residencial,Domingo,36.0,89.5,4.5,13.0,43.25
Residencial,Quinta,31.5,187.3,2.7,6.0,41.26
Residencial,Terca,37.3,85.3,5.4,10.0,47.29
Industrial,Quarta,25.2,2816.7,84.7,12.0,617.65
Comercial,Domingo,18.8,373.8,77.9,6.0,154.76
Industrial,Domingo,32.8,1088.9,194.6,10.0,687.25
Industrial,Domingo,20.4,830.7,50.6,11.0,496.42
Residencial,Quarta,24.9,94.8,4.5,14.0,27.28
Residencial,Domingo,18.8,83.5,2.1,15.0,20.65
Industrial,Segunda,34.4,4125.5,125.4,17.0,816.48
Comercial,Domingo,19.7,178.3,28.9,2.0,114.48
Residencial,Domingo,15.9,77.1,3.8,19.0,21.93
Comercial,Terca,22.3,455.1,12.9,4.0,117.11
Residencial,Domingo,25.5,132.2,4.0,14.0,30.37
Comercial,Quarta,18.2,121.0,31.6,14.0,113.38
Comercial,Domingo,37.3,165.7,57.1,9.0,174.18
Residencial,Terca,35.0,84.8,4.8,17.0,42.77
Residencial,Sabado,26.4,146.5,5.5,12.0,33.69
Residencial,Quinta,15.7,190.3,4.8,14.0,28.9
Comercial,Quarta,,555.9,17.5,13.0,123.7
Residencial,Domingo,38.0,66.7,5.9,9.0,47.51
