@relation 'dataset_consumo_energia-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.MathExpression-Elog(A)-R1-3,5-6-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.NominalToBinary-A-R1,2-weka.filters.unsupervised.attribute.Standardize'

@attribute Setor_Atividade=Residencial numeric
@attribute Setor_Atividade=Comercial numeric
@attribute Setor_Atividade=Industrial numeric
@attribute Dia_da_Semana=Segunda numeric
@attribute Dia_da_Semana=Terca numeric
@attribute Dia_da_Semana=Quarta numeric
@attribute Dia_da_Semana=Quinta numeric
@attribute Dia_da_Semana=Sexta numeric
@attribute Dia_da_Semana=Sabado numeric
@attribute Dia_da_Semana=Domingo numeric
@attribute Temperatura_Media numeric
@attribute Area_Metragem numeric
@attribute Ocupantes_Ativos numeric
@attribute Consumo_Energia numeric

@data
-0.714594,-0.702355,1.421044,2.292365,-0.41968,-0.387496,-0.387496,-0.447814,-0.374274,-0.400506,-0.434248,1.512474,-0.055851,7.566104
1.396706,-0.702355,-0.702355,2.292365,-0.41968,-0.387496,-0.387496,-0.447814,-0.374274,-0.400506,-0.744311,-1.26221,0,5.338019
-0.714594,-0.702355,1.421044,-0.435392,2.378186,-0.387496,-0.387496,-0.447814,-0.374274,-0.400506,1.536861,1.728219,-0.42226,7.669775
-0.714594,-0.702355,1.421044,-0.435392,-0.41968,2.575709,-0.387496,-0.447814,-0.374274,-0.400506,-1.453024,1.71351,2.563971,8.235308
1.396706,-0.702355,-0.702355,-0.435392,-0.41968,-0.387496,2.575709,-0.447814,-0.374274,-0.400506,-1.563761,-0.891044,0,5.48272
1.396706,-0.702355,-0.702355,-0.435392,-0.41968,-0.387496,-0.387496,2.228776,-0.374274,-0.400506,1.027473,-1.29636,-0.880271,5.6287
-0.714594,-0.702355,1.421044,-0.435392,-0.41968,-0.387496,-0.387496,2.228776,-0.374274,-0.400506,0.008698,1.476457,1.941076,7.938089
-0.714594,1.421044,-0.702355,-0.435392,-0.41968,-0.387496,2.575709,-0.447814,-0.374274,-0.400506,0.119434,-0.893529,-0.440581,6.086547
-0.714594,-0.702355,1.421044,-0.435392,-0.41968,-0.387496,-0.387496,-0.447814,-0.374274,2.492039,-0.412101,0.188316,1.66627,7.491199
-0.714594,-0.702355,1.421044,-0.435392,-0.41968,-0.387496,-0.387496,-0.447814,2.666702,-0.400506,-0.279217,0.904556,1.849474,7.702421
-0.714594,-0.702355,1.421044,-0.435392,2.378186,-0.387496,-0.387496,-0.447814,-0.374274,-0.400506,-0.522838,1.235585,0,7.488126
-0.714594,-0.702355,1.421044,-0.435392,-0.41968,-0.387496,-0.387496,2.228776,-0.374274,-0.400506,-0.700016,1.636161,1.26322,7.882617
1.396706,-0.702355,-0.702355,-0.435392,-0.41968,2.575709,-0.387496,-0.447814,-0.374274,-0.400506,-0.434248,-0.839297,-0.898592,5.742362
-0.714594,-0.702355,1.421044,-0.435392,2.378186,-0.387496,-0.387496,-0.447814,-0.374274,-0.400506,-0.478543,1.533391,0.933452,7.790903
-0.714594,1.421044,-0.702355,-0.435392,-0.41968,2.575709,-0.387496,-0.447814,-0.374274,-0.400506,-0.921489,-0.165427,-0.42226,6.283014
1.396706,-0.702355,-0.702355,-0.435392,-0.41968,-0.387496,-0.387496,-0.447814,-0.374274,2.492039,-0.611427,-1.139331,-0.916912,5.435031
-0.714594,1.421044,-0.702355,2.292365,-0.41968,-0.387496,-0.387496,-0.447814,-0.374274,-0.400506,-1.563761,-0.240844,-0.42226,6.104793
-0.714594,1.421044,-0.702355,-0.435392,2.378186,-0.387496,-0.387496,-0.447814,-0.374274,-0.400506,0.739558,0.349836,-0.294017,6.669879
-0.714594,1.421044,-0.702355,-0.435392,-0.41968,-0.387496,-0.387496,2.228776,-0.374274,-0.400506,0.429496,-1.014246,-0.587144,6.054205
-0.714594,1.421044,-0.702355,-0.435392,2.378186,-0.387496,-0.387496,-0.447814,-0.374274,-0.400506,-0.102039,0.265253,-0.788669,6.447464
1.396706,-0.702355,-0.702355,-0.435392,2.378186,-0.387496,-0.387496,-0.447814,-0.374274,-0.400506,0.252318,0.627747,-0.880271,5.719984
1.396706,-0.702355,-0.702355,-0.435392,2.378186,-0.387496,-0.387496,-0.447814,-0.374274,-0.400506,0.296612,-1.054487,-0.880271,5.656341
-0.714594,1.421044,-0.702355,-0.435392,-0.41968,-0.387496,-0.387496,-0.447814,2.666702,-0.400506,-0.810753,0.151985,0.127353,6.683236
-0.714594,1.421044,-0.702355,-0.435392,2.378186,-0.387496,-0.387496,-0.447814,-0.374274,-0.400506,-0.611427,-0.088709,-0.330658,6.410997
